"Nazwa skrócona

    Sortuj malejąco",Ticker,Pełna nazwa,Data publikacji,Raport
ASSECOSEE,ASE,Asseco SEE SA,23-10-2025,Raport za III kwartał
MILLENNIUM,MIL,Bank Millennium SA,24-10-2025,Raport za III kwartał
MENNICA,MNC,Mennica Polska SA,24-10-2025,Raport za III kwartał
BUDIMEX,BDX,Budimex SA,27-10-2025,Raport za III kwartał
ALIOR,ALR,Alior Bank SA,28-10-2025,Raport za III kwartał
WAWEL,WWL,Wawel SA,28-10-2025,Raport za III kwartał
ZABKA,ZAB,Zabka Group SA (Żabka),28-10-2025,Raport za III kwartał
SANPL,SPL,Santander Bank Polska SA,29-10-2025,Raport za III kwartał
KRUK,KRU,Kruk SA,29-10-2025,Raport za III kwartał
ASSECOBS,ABS,Asseco BS SA,29-10-2025,Raport za III kwartał
INGBSK,ING,ING Bank Śląski SA,30-10-2025,Raport za III kwartał
MBANK,MBK,mBank SA,30-10-2025,Raport za III kwartał
PEKAO,PEO,Bank Pekao SA,30-10-2025,Raport za III kwartał
BIOTON,BIO,Bioton SA,30-10-2025,Raport za III kwartał
ROPCZYCE,RPC,ZM Ropczyce SA,30-10-2025,Raport za III kwartał
SEKO,SEK,Seko SA,31-10-2025,Raport za III kwartał
MOLECURE,MOC,Molecure SA,31-10-2025,Raport za III kwartał
REMAK,RMK,Remak-Energomontaż SA,31-10-2025,Raport za III kwartał
SHOPER,SHO,Shoper SA,05-11-2025,Raport za III kwartał
CYBERFLKS,CBF,Cyber_Folks SA,05-11-2025,Raport za III kwartał
VERCOM,VRC,Vercom SA,05-11-2025,Raport za III kwartał
BNPPPL,BNP,BNP Paribas Bank Polska SA,06-11-2025,Raport za III kwartał
ASBIS,ASB,ASBISc Enterprises plc,06-11-2025,Raport za III kwartał
PKOBP,PKO,PKO BP SA,06-11-2025,Raport za III kwartał
ARCTIC,ATC,Arctic Paper SA,06-11-2025,Raport za III kwartał
ERBUD,ERB,Erbud SA,06-11-2025,Raport za III kwartał
ONDE,OND,Onde SA,06-11-2025,Raport za III kwartał
PKNORLEN,PKN,Orlen SA,06-11-2025,Raport za III kwartał
DINOPL,DNP,Dino Polska SA,06-11-2025,Raport za III kwartał
MEDINICE,ICE,Medinice SA,06-11-2025,Raport za III kwartał
GPW,GPW,GPW SA,06-11-2025,Raport za III kwartał
IZOLACJA,IZO,Izolacja Jarocin SA,06-11-2025,Raport za III kwartał
TOYA,TOA,Toya SA,06-11-2025,Raport za III kwartał
MOSTALZAB,MSZ,Mostostal Zabrze SA,06-11-2025,Raport za III kwartał
POLWAX,PWX,Polwax SA,06-11-2025,Raport za III kwartał
ENERGA,ENG,Energa SA,06-11-2025,Raport za III kwartał
MOL,MOL,MOL Rt.,07-11-2025,Raport za III kwartał
KOMPAP,KMP,Kompap SA,07-11-2025,Raport za III kwartał
IFIRMA,IFI,iFirma SA,07-11-2025,Raport za III kwartał
NOVITA,NVT,Novita SA,07-11-2025,Raport za III kwartał
LIBET,LBT,Libet SA,07-11-2025,Raport za III kwartał
ACAUTOGAZ,ACG,AC SA,07-11-2025,Raport za III kwartał
ALTUS,ALI,Altus SA,07-11-2025,Raport za III kwartał
CFI,CFI,CFI Holding SA,07-11-2025,Raport za III kwartał
IMPERIO,IMP,Imperio ASI SA,10-11-2025,Raport za III kwartał
TSGAMES,TEN,Ten Square Games SA,12-11-2025,Raport za III kwartał
OPONEO.PL,OPN,Oponeo.pl SA,12-11-2025,Raport za III kwartał
ARTIFEX,ART,Artifex Mundi SA,12-11-2025,Raport za III kwartał
DADELO,DAD,Dadelo SA,12-11-2025,Raport za III kwartał
KGHM,KGH,KGHM Polska Miedź SA,13-11-2025,Raport za III kwartał
UNFOLD,UNF,Unfold.vc ASI SA,13-11-2025,Raport za III kwartał
IMCOMPANY,IMC,IMC S.A.,13-11-2025,Raport za III kwartał
IZOSTAL,IZS,Izostal SA,13-11-2025,Raport za III kwartał
VRG,VRG,VRG SA,13-11-2025,Raport za III kwartał
SECOGROUP,SWG,Seco/Warwick SA,13-11-2025,Raport za III kwartał
BOS,BOS,BOŚ SA,13-11-2025,Raport za III kwartał
INTERCARS,CAR,Inter Cars SA,13-11-2025,Raport za III kwartał
HANDLOWY,BHW,Bank Handlowy w Warszawie SA,13-11-2025,Raport za III kwartał
08OCTAVA,08N,Octava SA,13-11-2025,Raport za III kwartał
GETIN,GTN,Getin Holding SA,13-11-2025,Raport za III kwartał
ATENDE,ATD,Atende SA,13-11-2025,Raport za III kwartał
ATAL,1AT,Atal SA,13-11-2025,Raport za III kwartał
WINVEST,WIS,Baltic Bridge SA,13-11-2025,Raport za III kwartał
MANGATA,MGT,Mangata Holding SA,13-11-2025,Raport za III kwartał
SYGNITY,SGN,Sygnity SA,13-11-2025,Raport za III kwartał
STALEXP,STX,Stalexport Autostrady SA,13-11-2025,Raport za III kwartał
PCCEXOL,PCX,PCC Exol SA,13-11-2025,Raport za III kwartał
PCCROKITA,PCR,PCC Rokita SA,13-11-2025,Raport za III kwartał
DATAWALK,DAT,DataWalk SA,13-11-2025,Raport za III kwartał
MLPGROUP,MLG,MLP Group SA,14-11-2025,Raport za III kwartał
BENEFIT,BFT,Benefit Systems SA,14-11-2025,Raport za III kwartał
ULTGAMES,ULG,Ultimate Games SA,14-11-2025,Raport za III kwartał
PROCHEM,PRM,Prochem SA,14-11-2025,Raport za III kwartał
TERMOREX,TRR,Termo-Rex SA,14-11-2025,Raport za III kwartał
APATOR,APT,Apator SA,14-11-2025,Raport za III kwartał
SANOK,SNK,Sanok Rubber Company SA,14-11-2025,Raport za III kwartał
DECORA,DCR,Decora SA,14-11-2025,Raport za III kwartał
IPOPEMA,IPE,Ipopema Securities SA,14-11-2025,Raport za III kwartał
MIRACULUM,MIR,Miraculum SA,14-11-2025,Raport za III kwartał
PURE,PUR,Pure Biologics SA,14-11-2025,Raport za III kwartał
LENA,LEN,Lena Lighting SA,14-11-2025,Raport za III kwartał
KPPD,KPD,KPPD SA,14-11-2025,Raport za III kwartał
WASKO,WAS,Wasko SA,14-11-2025,Raport za III kwartał
STALPROD,STP,Stalprodukt SA,14-11-2025,Raport za III kwartał
NEWAG,NWG,Newag SA,14-11-2025,Raport za III kwartał
COGNOR,COG,Cognor Holding SA,14-11-2025,Raport za III kwartał
MCI,MCI,MCI Capital ASI SA,14-11-2025,Raport za III kwartał
PATENTUS,PAT,Patentus SA,17-11-2025,Raport za III kwartał
POLIMEXMS,PXM,Polimex Mostostal SA,17-11-2025,Raport za III kwartał
ODLEWNIE,ODL,Odlewnie Polskie SA,17-11-2025,Raport za III kwartał
UNIBEP,UNI,Unibep SA,17-11-2025,Raport za III kwartał
XTB,XTB,XTB SA,18-11-2025,Raport za III kwartał
WIRTUALNA,WPL,WP Holding SA,18-11-2025,Raport za III kwartał
OTLOG,OTS,OT Logistics SA,18-11-2025,Raport za III kwartał
INTROL,INL,Introl SA,18-11-2025,Raport za III kwartał
BUMECH,BMC,Bumech SA,18-11-2025,Raport za III kwartał
ERG,ERG,ERG SA,18-11-2025,Raport za III kwartał
FERRO,FRO,Ferro SA,18-11-2025,Raport za III kwartał
BOGDANKA,LWB,LW Bogdanka SA,18-11-2025,Raport za III kwartał
ENEA,ENA,Enea SA,18-11-2025,Raport za III kwartał
UNIMOT,UNT,Unimot SA,18-11-2025,Raport za III kwartał
HERKULES,HRS,Herkules SA w restrukturyzacji,19-11-2025,Raport za III kwartał
PHOTON,PEN,Photon Energy NV,19-11-2025,Raport za III kwartał
GOBARTO,GOB,Gobarto SA,19-11-2025,Raport za III kwartał
ATREM,ATR,Atrem SA,19-11-2025,Raport za III kwartał
LOKUM,LKD,Lokum Deweloper SA,19-11-2025,Raport za I kwartał
CLNPHARMA,CLN,Celon Pharma SA,19-11-2025,Raport za III kwartał
BORYSZEW,BRS,Boryszew SA,19-11-2025,Raport za III kwartał
ZUE,ZUE,ZUE SA,19-11-2025,Raport za III kwartał
AGORA,AGO,Agora SA,19-11-2025,Raport za III kwartał
EUROTEL,ETL,Eurotel SA,19-11-2025,Raport za III kwartał
TAURONPE,TPE,Tauron PE SA,19-11-2025,Raport za III kwartał
VIVID,VVD,Vivid Games SA,19-11-2025,Raport za III kwartał
POLTREG,PTG,Poltreg SA,19-11-2025,Raport za III kwartał
PHN,PHN,PHN SA,19-11-2025,Raport za III kwartał
ANSWEAR,ANR,Answear.com SA,19-11-2025,Raport za III kwartał
DMGROUP,DMG,Dr. Miele Cosmed Group SA,19-11-2025,Raport za III kwartał
ONESANO,ONO,onesano SA,19-11-2025,Raport za III kwartał
SNIEZKA,SKA,Śnieżka SA,19-11-2025,Raport za III kwartał
ALTA,AAT,Alta SA,19-11-2025,Raport za III kwartał
CYFRPLSAT,CPS,Cyfrowy Polsat SA,19-11-2025,Raport za III kwartał
RYVU,RVU,Ryvu Therapeutics SA,20-11-2025,Raport za III kwartał
DOMDEV,DOM,Dom Development SA,20-11-2025,Raport za III kwartał
PASSUS,PAS,Passus SA,20-11-2025,Raport za III kwartał
SKYLINE,SKL,Skyline Investment SA,20-11-2025,Raport za III kwartał
COMPERIA,CPL,Comperia.pl SA,20-11-2025,Raport za III kwartał
APLISENS,APN,Aplisens SA,20-11-2025,Raport za III kwartał
MFO,MFO,MFO SA,20-11-2025,Raport za III kwartał
KINOPOL,KPL,Kino Polska TV SA,20-11-2025,Raport za III kwartał
CASPAR,CSR,Caspar AM SA,20-11-2025,Raport za III kwartał
11BIT,11B,11 bit studios SA,20-11-2025,Raport za III kwartał
APSENERGY,APE,APS Energia SA,20-11-2025,Raport za III kwartał
NEUCA,NEU,Neuca SA,20-11-2025,Raport za III kwartał
WOODPCKR,WPR,Woodpecker.co SA,20-11-2025,Raport za III kwartał
RELPOL,RLP,Relpol SA,20-11-2025,Raport za III kwartał
AUTOPARTN,APR,Auto Partner SA,20-11-2025,Raport za III kwartał
GRUPRACUJ,GPP,Grupa Pracuj SA,20-11-2025,Raport za III kwartał
DEVELIA,DVL,Develia SA,20-11-2025,Raport za III kwartał
PAMAPOL,PMP,Pamapol SA,20-11-2025,Raport za III kwartał
MAKARONPL,MAK,Makarony Polskie SA,20-11-2025,Raport za III kwartał
RANKPROGR,RNK,Rank Progress SA,20-11-2025,Raport za III kwartał
KRVITAMIN,KVT,Krynica Vitamin SA,20-11-2025,Raport za III kwartał
PANOVA,NVA,P.A. Nova SA,20-11-2025,Raport za III kwartał
IBSM,IBS,Wise Finance SA,20-11-2025,Raport za III kwartał
HUUUGE,HUG,"Huuuge, Inc.",20-11-2025,Raport za III kwartał
WITTCHEN,WTN,Wittchen SA,20-11-2025,Raport za III kwartał
GTC,GTC,GTC SA,20-11-2025,Raport za III kwartał
SELVITA,SLV,Selvita SA,20-11-2025,Raport za III kwartał
PZU,PZU,PZU SA,20-11-2025,Raport za III kwartał
BEST,BST,Best SA,20-11-2025,Raport za III kwartał
ORZBIALY,OBL,Orzeł Biały SA,20-11-2025,Raport za III kwartał
COMP,CMP,Comp SA,20-11-2025,Raport za III kwartał
SATIS,STS,Satis Group SA,20-11-2025,Raport za III kwartał
PULAWY,ZAP,Puławy SA,20-11-2025,Raport za III kwartał
POLICE,PCE,Police SA,20-11-2025,Raport za III kwartał
GRUPAAZOTY,ATT,Grupa Azoty SA,20-11-2025,Raport za III kwartał
CAPTORTX,CTX,Captor Therapeutics SA,20-11-2025,Raport za III kwartał
ENERGOINS,ENI,Energoinstal SA,20-11-2025,Raport za III kwartał
NEPTIS,YAN,Neptis SA,20-11-2025,Raport za III kwartał
VINDEXUS,VIN,GPM Vindexus SA,20-11-2025,Raport za III kwartał
PEKABEX,PBX,Pekabex SA,20-11-2025,Raport za III kwartał
MOBRUK,MBR,Mo-Bruk SA,20-11-2025,Raport za III kwartał
PEP,PEP,Polenergia SA,20-11-2025,Raport za III kwartał
DIAG,DIA,Diagnostyka SA,20-11-2025,Raport za III kwartał
HYDROTOR,HDR,PHS Hydrotor SA,21-11-2025,Raport za III kwartał
CORMAY,CRM,PZ Cormay SA,21-11-2025,Raport za III kwartał
LENTEX,LTX,Lentex SA,21-11-2025,Raport za III kwartał
SELENAFM,SEL,Selena FM SA,21-11-2025,Raport za III kwartał
DEKPOL,DEK,Dekpol SA,21-11-2025,Raport za III kwartał
DEBICA,DBC,Dębica SA,21-11-2025,Raport za III kwartał
MDIENERGIA,MDI,MDI Energia SA,21-11-2025,Raport za III kwartał
MARVIPOL,MVP,Marvipol Development SA,21-11-2025,Raport za III kwartał
COMARCH,CMR,Comarch SA,21-11-2025,Raport za III kwartał
ZREMB,ZRE,Zremb-Chojnice SA,21-11-2025,Raport za III kwartał
IZOBLOK,IZB,Izoblok SA,21-11-2025,Raport za III kwartał
AMICA,AMC,Amica SA,21-11-2025,Raport za III kwartał
TESGAS,TSG,Tesgas SA,21-11-2025,Raport za III kwartał
CDRL,CDL,CDRL SA,21-11-2025,Raport za III kwartał
TORPOL,TOR,Torpol SA,21-11-2025,Raport za III kwartał
EUCO,EUC,EuCO SA w restrukturyzacji,21-11-2025,Raport za III kwartał
EUROCASH,EUR,Eurocash SA,21-11-2025,Raport za III kwartał
INSTALKRK,INK,Instal Kraków SA,21-11-2025,Raport za III kwartał
MLSYSTEM,MLS,ML System SA,21-11-2025,Raport za III kwartał
WIKANA,WIK,Wikana SA,21-11-2025,Raport za III kwartał
IDMSA,IDM,IDM SA,21-11-2025,Raport za III kwartał
INPRO,INP,Inpro SA,24-11-2025,Raport za III kwartał
PJPMAKRUM,PJP,PJP Makrum SA,24-11-2025,Raport za III kwartał
CREEPYJAR,CRJ,Creepy Jar SA,24-11-2025,Raport za III kwartał
CLOUD,CLD,Cloud Technologies SA,24-11-2025,Raport za III kwartał
SPYROSOFT,SPR,SpyroSoft SA,24-11-2025,Raport za III kwartał
SERINUS,SEN,Serinus Energy plc,24-11-2025,Raport za III kwartał
KCI,KCI,KCI SA,24-11-2025,Raport za III kwartał
STAPORKOW,ZUK,ZUK Stąporków SA,24-11-2025,Raport za III kwartał
RENDER,RND,Render Cube SA,24-11-2025,Raport za III kwartał
AIRWAY,AWM,Airway Medix SA,24-11-2025,Raport za III kwartał
PGE,PGE,PGE SA,25-11-2025,Raport za III kwartał
VOTUM,VOT,Votum SA,25-11-2025,Raport za III kwartał
KOGENERA,KGN,Kogeneracja SA,25-11-2025,Raport za III kwartał
PMPG,PGM,PMPG Polskie Media SA,25-11-2025,Raport za III kwartał
CELTIC,CPD,CPD SA,25-11-2025,Raport za III kwartał
STALPROFI,STF,Stalprofil SA,25-11-2025,Raport za III kwartał
BOOMBIT,BBT,BoomBit SA,25-11-2025,Raport za III kwartał
ELEKTROTI,ELT,Elektrotim SA,25-11-2025,Raport za III kwartał
JSW,JSW,JSW  SA,25-11-2025,Raport za III kwartał
XTPL,XTP,XTPL SA,25-11-2025,Raport za III kwartał
ULMA,ULM,Ulma Construccion Polska SA,25-11-2025,Raport za III kwartał
ARCHICOM,ARH,Archicom SA,25-11-2025,Raport za III kwartał
DIGITREE,DTR,Digitree Group SA,25-11-2025,Raport za III kwartał
SNTVERSE,SVE,Synthaverse SA,25-11-2025,Raport za III kwartał
CDPROJEKT,CDR,CD Projekt SA,26-11-2025,Raport za III kwartał
AIGAMES,ALG,All in! Games SA w restrukturyzacji,26-11-2025,Raport za III kwartał
TRAKCJA,TRK,Trakcja SA,26-11-2025,Raport za III kwartał
AILLERON,ALL,Ailleron SA,26-11-2025,Raport za III kwartał
MEXPOLSKA,MEX,Mex Polska SA,26-11-2025,Raport za III kwartał
LARQ,LRQ,Larq SA,26-11-2025,Raport za III kwartał
NEXITY,NXG,Nexity Global SA,26-11-2025,Raport za III kwartał
PCFGROUP,PCF,PCF Group SA,26-11-2025,Raport za III kwartał
RAFAMET,RAF,Rafamet SA w restrukturyzacji,26-11-2025,Raport za III kwartał
CREOTECH,CRI,Creotech Instruments SA,26-11-2025,Raport za III kwartał
IMS,IMS,IMS SA,26-11-2025,Raport za III kwartał
MURAPOL,MUR,Murapol SA,26-11-2025,Raport za III kwartał
SILVAIR-REGS,SVRS,Silvair Inc.,26-11-2025,Raport za III kwartał
TEXT,TXT,Text SA,26-11-2025,Raport półroczny
UNICREDIT,UCG,UniCredit SpA,27-11-2025,Raport za III kwartał
BIOPLANET,BIP,Bio Planet SA,27-11-2025,Raport za III kwartał
TENDERHUT,THG,TenderHut SA,27-11-2025,Raport za III kwartał
CAVATINA,CAV,Cavatina Holding SA,27-11-2025,Raport za III kwartał
GAMFACTOR,GIF,Gaming Factory SA,27-11-2025,Raport za III kwartał
MIRBUD,MRB,Mirbud SA,27-11-2025,Raport za III kwartał
ENELMED,ENE,Centrum Medyczne Enel-Med SA,27-11-2025,Raport za III kwartał
BIOCELTIX,BCX,Bioceltix SA,27-11-2025,Raport za III kwartał
WIELTON,WLT,Wielton SA,27-11-2025,Raport za III kwartał
NANOGROUP,NNG,NanoGroup SA,27-11-2025,Raport za IV kwartał
TRANSPOL,TRN,Trans Polonia SA,27-11-2025,Raport za III kwartał
OPTEAM,OPM,OPTeam SA,27-11-2025,Raport za III kwartał
MAXCOM,MXC,Maxcom SA,27-11-2025,Raport za III kwartał
RAINBOW,RBW,Rainbow Tours SA,27-11-2025,Raport za III kwartał
REINO,RNC,Reino Capital SA,27-11-2025,Raport za III kwartał
EDINVEST,EDI,ED Invest SA,27-11-2025,Raport za III kwartał
LUBAWA,LBW,Lubawa SA,27-11-2025,Raport za III kwartał
KRAKCHEM,KCH,Krakchemia SA,27-11-2025,Raport za III kwartał
ATMGRUPA,ATG,ATM Grupa SA,27-11-2025,Raport za III kwartał
VIGOPHOTN,VGO,Vigo Photonics SA,27-11-2025,Raport za III kwartał
PEPEES,PPS,Pepees SA,27-11-2025,Raport za III kwartał
3RGAMES,3RG,3R Games SA,27-11-2025,Raport za III kwartał
ENTER,ENT,Enter Air SA,27-11-2025,Raport za III kwartał
FABRITY,FAB,Fabrity SA,27-11-2025,Raport za III kwartał
CIGAMES,CIG,CI Games SE,27-11-2025,Raport za III kwartał
CCENERGY,CCE,Clean&Carbon Energy SA,27-11-2025,Raport za III kwartał
BOWIM,BOW,Bowim SA,27-11-2025,Raport za III kwartał
JRH,JRH,JRH ASI SA,27-11-2025,Raport za III kwartał
FMG,FMG,Wise Energy SA,27-11-2025,Raport za III kwartał
GIGROUP,GIG,Gi Group Poland SA,27-11-2025,Raport za III kwartał
JWWINVEST,JWW,JWW Invest SA,27-11-2025,Raport za III kwartał
MERCATOR,MRC,Mercator Medical SA,27-11-2025,Raport za III kwartał
BLOOBER,BLO,Bloober Team SA,27-11-2025,Raport za III kwartał
HMINWEST,HMI,HM Inwest SA,27-11-2025,Raport za III kwartał
FASING,FSG,Fasing SA,27-11-2025,Raport za III kwartał
ASSECOPOL,ACP,Asseco Poland SA,27-11-2025,Raport za III kwartał
06MAGNA,06N,Magna Polonia SA,27-11-2025,Raport za III kwartał
ECHO,ECH,Echo Investment SA,27-11-2025,Raport za III kwartał
MOJ,MOJ,MOJ SA,27-11-2025,Raport za III kwartał
INC,INC,INC SA,27-11-2025,Raport za III kwartał
YARRL,YRL,yarrl SA,27-11-2025,Raport za III kwartał
COLUMBUS,CLC,Columbus Energy SA,27-11-2025,Raport za III kwartał
VOXEL,VOX,Voxel SA,27-11-2025,Raport za III kwartał
CAPITEA,CAP,Capitea SA,27-11-2025,Raport za III kwartał
LESS,LES,Less SA,27-11-2025,Raport za III kwartał
ASMGROUP,ASM,ASM Group SA,27-11-2025,Raport za III kwartał
CCC,CCC,CCC SA,27-11-2025,Raport za III kwartał
MEGARON,MEG,Megaron SA,27-11-2025,Raport za III kwartał
4MASS,4MS,4Mass SA,28-11-2025,Raport za III kwartał
MUZA,MZA,Muza SA,28-11-2025,Raport za III kwartał
FEERUM,FEE,Feerum SA,28-11-2025,Raport za III kwartał
TALEX,TLX,Talex SA,28-11-2025,Raport za III kwartał
EMCINSMED,EMC,EMC Instytut Medyczny SA,28-11-2025,Raport za III kwartał
ACTION,ACT,Action SA,28-11-2025,Raport za III kwartał
IMMOBILE,GKI,GK Immobile SA,28-11-2025,Raport za III kwartał
PKPCARGO,PKP,PKP Cargo SA w restrukturyzacji,28-11-2025,Raport za III kwartał
BEDZIN,BDZ,ECB SA,28-11-2025,Raport za III kwartał
PLAYWAY,PLW,PlayWay SA,28-11-2025,Raport za III kwartał
KGL,KGL,KGL SA,28-11-2025,Raport za III kwartał
SUNEX,SNX,Sunex SA,28-11-2025,Raport za III kwartał
AMPLI,APL,LC SA,28-11-2025,Raport za III kwartał
HARPER,HRP,Harper Hygienics SA,28-11-2025,Raport za III kwartał
MOSTALWAR,MSW,Mostostal Warszawa SA,28-11-2025,Raport za III kwartał
RAWLPLUG,RWL,Rawlplug SA,28-11-2025,Raport za III kwartał
PGFGROUP,PGV,PGF Polska Grupa Fotowoltaiczna SA,28-11-2025,Raport za III kwartał
PHARMENA,PHR,Pharmena SA,28-11-2025,Raport za III kwartał
PROTEKTOR,PRT,Protektor SA,28-11-2025,Raport za III kwartał
ENAP,ENP,Energoaparatura SA,28-11-2025,Raport za III kwartał
PBSFINANSE,PBF,PBS Finanse SA,28-11-2025,Raport za III kwartał
SIMFABRIC,SIM,SimFabric SA,28-11-2025,Raport za III kwartał
MOVIEGAMES,MOV,Movie Games SA,28-11-2025,Raport za III kwartał
MWTRADE,MWT,M.W. Trade SA,28-11-2025,Raport za III kwartał
MOSTALPLC,MSP,Mostostal Płock SA,28-11-2025,Raport za III kwartał
LSISOFT,LSI,LSI Software SA,28-11-2025,Raport za III kwartał
ZEPAK,ZEP,ZE PAK SA,28-11-2025,Raport za III kwartał
URTESTE,URT,Urteste SA,28-11-2025,Raport za III kwartał
MEDICALG,MDG,Medicalgorithmics SA,28-11-2025,Raport za III kwartał
NTTSYSTEM,NTT,NTT System SA,28-11-2025,Raport za III kwartał
DGA,DGA,DGA SA,28-11-2025,Raport za III kwartał
CZTOREBKA,CZT,Czerwona Torebka SA,28-11-2025,Raport za III kwartał
INTERBUD,ITB,Interbud-Lublin SA,28-11-2025,Raport za III kwartał
SCPFL,SCP,Scope Fluidics SA,28-11-2025,Raport za III kwartał
GENOMTEC,GMT,Genomtec SA,28-11-2025,Raport za III kwartał
SONEL,SON,Sonel SA,28-11-2025,Raport za III kwartał
ESOTIQ,EAH,Esotiq&Henderson SA,28-11-2025,Raport za III kwartał
TARCZYNSKI,TAR,Tarczyński SA,28-11-2025,Raport za III kwartał
GRENEVIA,GEA,Grenevia SA,28-11-2025,Raport za III kwartał
EQUNICO,EQU,Equnico SE,28-11-2025,Raport za III kwartał
DIGITANET,DIG,Digital Network SA,28-11-2025,Raport za III kwartał
GAMEOPS,GOP,Games Operators SA,28-11-2025,Raport za III kwartał
SFINKS,SFS,Sfinks Polska SA,28-11-2025,Raport za III kwartał
RAEN,RAE,Raen SA,28-11-2025,Raport za III kwartał
EKOEXPORT,EEX,Eko Export SA,28-11-2025,Raport za III kwartał
DROZAPOL,DPL,Drozapol-Profil SA,28-11-2025,Raport za III kwartał
TBULL,TBL,T-Bull SA,28-11-2025,Raport za III kwartał
BBIDEV,BBD,BBI Development SA,28-11-2025,Raport za III kwartał
MANYDEV,MAN,ManyDev Studio SE,28-11-2025,Raport za III kwartał
PTWP,PTW,PTWP SA,28-11-2025,Raport za III kwartał
QUANTUM,QNT,Quantum Software SA,28-11-2025,Raport za III kwartał
PRAGMAINK,PRI,NPL Nova SA,28-11-2025,Raport za III kwartał
ZAMET,ZMT,Zamet SA,28-11-2025,Raport za III kwartał
COMPREMUM,CPR,Compremum SA,28-11-2025,Raport za III kwartał
BIOMAXIMA,BMX,BioMaxima SA,28-11-2025,Raport za III kwartał
BIGCHEESE,BCS,Big Cheese Studio SA,28-11-2025,Raport za III kwartał
SANWIL,SNW,Sanwil Holding SA,28-11-2025,Raport za III kwartał
PBG,PBG,PBG SA  w restrukturyzacji w likwidacji,28-11-2025,Raport za III kwartał
REDAN,RDN,Redan SA w likwidacji,28-11-2025,Raport za III kwartał
PRIMAMODA,PMA,Prima Moda SA,28-11-2025,Raport za III kwartał
BRASTER,BRA,Braster SA,28-11-2025,Raport za III kwartał
TOWERINVT,TOW,Tower Investments SA,28-11-2025,Raport za III kwartał
STARHEDGE,SHG,Starhedge SA,28-11-2025,Raport za III kwartał
TRITON,TRI,Triton Development SA,28-11-2025,Raport za III kwartał
MONNARI,MON,Monnari Trade SA,28-11-2025,Raport za III kwartał
LABOPRINT,LAB,Labo Print SA,29-11-2025,Raport za III kwartał
NOVAVISGR,NVG,Novavis Group SA,29-11-2025,Raport za III kwartał
NTCAPITAL,NTC,New Tech Capital SA,29-11-2025,Raport za III kwartał
ASTARTA,AST,Astarta Holding PLC,30-11-2025,Raport za III kwartał
MERCOR,MCR,Mercor SA,01-12-2025,Raport półroczny
BRAND24,B24,Brand24 SA,01-12-2025,Raport za III kwartał
OTMUCHOW,OTM,ZPC Otmuchów SA,01-12-2025,Raport za III kwartał
HOLLYWOOD,HLD,Hollywood SA,01-12-2025,Raport za III kwartał
ADIUVO,ADV,Adiuvo Investments SA,01-12-2025,Raport za III kwartał
FORTE,FTE,Fabryki Mebli Forte SA,09-12-2025,Raport półroczny
LPP,LPP,LPP SA,11-12-2025,Raport za III kwartał
BETACOM,BCM,Betacom SA,12-12-2025,Raport półroczny
KOMPUTRON,KOM,Komputronik SA,15-12-2025,Raport półroczny
GRODNO,GRN,Grodno SA,18-12-2025,Raport półroczny
INTERSPPL,IPO,Intersport Polska SA,19-12-2025,Raport półroczny
FASTFIN,FFI,Fast Finance SA w restrukturyzacji,31-12-2025,Raport za III kwartał
FASTFIN,FFI,Fast Finance SA w restrukturyzacji,31-12-2025,Raport półroczny
ABPL,ABE,AB SA,21-01-2026,Raport roczny
ORANGEPL,OPL,Orange Polska SA,12-02-2026,Raport roczny
GRODNO,GRN,Grodno SA,12-02-2026,Raport za III kwartał
KOMPUTRON,KOM,Komputronik SA,16-02-2026,Raport za III kwartał
TEXT,TXT,Text SA,26-02-2026,Raport za III kwartał
FORTE,FTE,Fabryki Mebli Forte SA,26-02-2026,Raport za III kwartał
NOVATURAS,NTU,Novaturas AB,27-02-2026,Raport za IV kwartał
INTERSPPL,IPO,Intersport Polska SA,27-02-2026,Raport za III kwartał
MBANK,MBK,mBank SA,03-03-2026,Raport roczny
BNPPPL,BNP,BNP Paribas Bank Polska SA,05-03-2026,Raport roczny
ASMGROUP,ASM,ASM Group SA,30-04-2026,Raport roczny
